config,BM,BN,BK,TM,TN,threads,registers_per_thread,static_shared_bytes,verify_pass,verify_max_error,case,M,N,K,min_ms,avg_ms,max_ms,avg_gflops,best_gflops
C00_baseline_64x64x8_8x8,64,64,8,8,8,64,119,4352,PASS,1.66893e-06,square_256,256,256,256,0.024576,0.0288915,0.100352,1161.39,1365.33
C01_32x64x8_8x8,32,64,8,8,8,32,118,3328,PASS,1.66893e-06,square_256,256,256,256,0.0256,0.0281914,0.057344,1190.24,1310.72
C02_64x32x8_8x8,64,32,8,8,8,32,121,3328,PASS,1.66893e-06,square_256,256,256,256,0.024576,0.0269984,0.049152,1242.83,1365.33
C03_64x128x8_8x8,64,128,8,8,8,128,117,6400,PASS,1.66893e-06,square_256,256,256,256,0.028672,0.0293382,0.038912,1143.71,1170.29
C04_128x64x8_8x8,128,64,8,8,8,128,118,6400,PASS,1.66893e-06,square_256,256,256,256,0.027648,0.0305094,0.095232,1099.81,1213.63
C05_128x128x8_8x8,128,128,8,8,8,256,110,8448,PASS,1.66893e-06,square_256,256,256,256,0.04096,0.0438598,0.074752,765.038,819.2
C06_64x64x16_8x8,64,64,16,8,8,64,102,8704,PASS,1.66893e-06,square_256,256,256,256,0.026624,0.0274413,0.03072,1222.77,1260.31
C07_64x128x16_8x8,64,128,16,8,8,128,126,12800,PASS,1.66893e-06,square_256,256,256,256,0.024576,0.0254054,0.0256,1320.76,1365.33
C08_128x64x16_8x8,128,64,16,8,8,128,126,12800,PASS,1.66893e-06,square_256,256,256,256,0.024576,0.0253594,0.03072,1323.16,1365.33
C09_128x128x16_8x8,128,128,16,8,8,256,125,16896,PASS,1.66893e-06,square_256,256,256,256,0.03584,0.038793,0.062464,864.962,936.229
C10_64x64x8_4x8,64,64,8,4,8,128,72,4352,PASS,1.66893e-06,square_256,256,256,256,0.022528,0.0234758,0.028672,1429.32,1489.45
C11_64x64x8_8x4,64,64,8,8,4,128,71,4352,PASS,1.66893e-06,square_256,256,256,256,0.021504,0.0229811,0.042912,1460.09,1560.38
C12_64x64x16_4x8,64,64,16,4,8,128,72,8704,PASS,1.66893e-06,square_256,256,256,256,0.021504,0.0234963,0.044032,1428.07,1560.38
C13_64x64x16_8x4,64,64,16,8,4,128,71,8704,PASS,1.66893e-06,square_256,256,256,256,0.019456,0.0230912,0.04608,1453.13,1724.63
C00_baseline_64x64x8_8x8,64,64,8,8,8,64,119,4352,PASS,1.66893e-06,square_512,512,512,512,0.053248,0.0560019,0.083936,4793.33,5041.23
C01_32x64x8_8x8,32,64,8,8,8,32,118,3328,PASS,1.66893e-06,square_512,512,512,512,0.0512,0.0581337,0.108544,4617.55,5242.88
C02_64x32x8_8x8,64,32,8,8,8,32,121,3328,PASS,1.66893e-06,square_512,512,512,512,0.05632,0.0586342,0.064512,4578.14,4766.25
C03_64x128x8_8x8,64,128,8,8,8,128,117,6400,PASS,1.66893e-06,square_512,512,512,512,0.068608,0.0750253,0.093152,3577.93,3912.6
C04_128x64x8_8x8,128,64,8,8,8,128,118,6400,PASS,1.66893e-06,square_512,512,512,512,0.059392,0.0637389,0.073728,4211.49,4519.72
