config,BM,BN,BK,TM,TN,threads,registers_per_thread,static_shared_bytes,verify_pass,verify_max_error,case,M,N,K,min_ms,avg_ms,max_ms,avg_gflops,best_gflops
C00_baseline_64x64x8_8x8,64,64,8,8,8,64,119,4352,PASS,1.66893e-06,square_1024,1024,1024,1024,0.282624,0.293398,0.325536,7319.34,7598.38
C01_32x64x8_8x8,32,64,8,8,8,32,118,3328,PASS,1.66893e-06,square_1024,1024,1024,1024,0.301056,0.307637,0.315392,6980.58,7133.17
C02_64x32x8_8x8,64,32,8,8,8,32,121,3328,PASS,1.66893e-06,square_1024,1024,1024,1024,0.336736,0.346285,0.362272,6201.5,6377.35
C03_64x128x8_8x8,64,128,8,8,8,128,117,6400,PASS,1.66893e-06,square_1024,1024,1024,1024,0.308064,0.315347,0.323584,6809.9,6970.9
C04_128x64x8_8x8,128,64,8,8,8,128,118,6400,PASS,1.66893e-06,square_1024,1024,1024,1024,0.287744,0.294674,0.303104,7287.67,7463.17
C05_128x128x8_8x8,128,128,8,8,8,256,110,8448,PASS,1.66893e-06,square_1024,1024,1024,1024,0.328704,0.339123,0.359264,6332.46,6533.18
C06_64x64x16_8x8,64,64,16,8,8,64,102,8704,PASS,1.66893e-06,square_1024,1024,1024,1024,0.29184,0.298976,0.306176,7182.8,7358.43
C07_64x128x16_8x8,64,128,16,8,8,128,126,12800,PASS,1.66893e-06,square_1024,1024,1024,1024,0.28464,0.292702,0.3,7336.75,7544.56
C08_128x64x16_8x8,128,64,16,8,8,128,126,12800,PASS,1.66893e-06,square_1024,1024,1024,1024,0.273408,0.2812,0.308224,7636.86,7854.5
C09_128x128x16_8x8,128,128,16,8,8,256,125,16896,PASS,1.66893e-06,square_1024,1024,1024,1024,0.298944,0.306246,0.330752,7012.27,7183.57
C10_64x64x8_4x8,64,64,8,4,8,128,72,4352,PASS,1.66893e-06,square_1024,1024,1024,1024,0.316416,0.322958,0.329728,6649.41,6786.9
C11_64x64x8_8x4,64,64,8,8,4,128,71,4352,PASS,1.66893e-06,square_1024,1024,1024,1024,0.287744,0.292294,0.306176,7346.99,7463.17
C12_64x64x16_4x8,64,64,16,4,8,128,72,8704,PASS,1.66893e-06,square_1024,1024,1024,1024,0.31232,0.322774,0.328704,6653.2,6875.91
C13_64x64x16_8x4,64,64,16,8,4,128,71,8704,PASS,1.66893e-06,square_1024,1024,1024,1024,0.278528,0.282221,0.290816,7609.23,7710.12
C00_baseline_64x64x8_8x8,64,64,8,8,8,64,119,4352,PASS,1.66893e-06,square_4096,4096,4096,4096,14.5838,15.3158,16.4403,8973.7,9424.08
C01_32x64x8_8x8,32,64,8,8,8,32,118,3328,PASS,1.66893e-06,square_4096,4096,4096,4096,17.3148,18.6242,19.5318,7379.59,7937.65
C02_64x32x8_8x8,64,32,8,8,8,32,121,3328,PASS,1.66893e-06,square_4096,4096,4096,4096,19.2285,19.6234,19.9946,7003.83,7147.66
C03_64x128x8_8x8,64,128,8,8,8,128,117,6400,PASS,1.66893e-06,square_4096,4096,4096,4096,15.2667,15.4737,15.8126,8882.12,9002.56
C04_128x64x8_8x8,128,64,8,8,8,128,118,6400,PASS,1.66893e-06,square_4096,4096,4096,4096,14.5039,14.598,14.8284,9414.92,9475.98
C05_128x128x8_8x8,128,128,8,8,8,256,110,8448,PASS,1.66893e-06,square_4096,4096,4096,4096,15.4337,15.5671,15.8044,8828.8,8905.1
C06_64x64x16_8x8,64,64,16,8,8,64,102,8704,PASS,1.66893e-06,square_4096,4096,4096,4096,15.1347,15.3783,15.8106,8937.19,9081.04
C07_64x128x16_8x8,64,128,16,8,8,128,126,12800,PASS,1.66893e-06,square_4096,4096,4096,4096,14.9002,15.2453,15.7592,9015.15,9223.95
C08_128x64x16_8x8,128,64,16,8,8,128,126,12800,PASS,1.66893e-06,square_4096,4096,4096,4096,13.9457,14.124,14.4752,9730.91,9855.32
C09_128x128x16_8x8,128,128,16,8,8,256,125,16896,PASS,1.66893e-06,square_4096,4096,4096,4096,14.1916,14.4459,14.8644,9514.04,9684.52
C10_64x64x8_4x8,64,64,8,4,8,128,72,4352,PASS,1.66893e-06,square_4096,4096,4096,4096,17.5411,17.7999,18.2691,7721.31,7835.26
C11_64x64x8_8x4,64,64,8,8,4,128,71,4352,PASS,1.66893e-06,square_4096,4096,4096,4096,16.8643,17.0675,17.3476,8052.67,8149.72
C12_64x64x16_4x8,64,64,16,4,8,128,72,8704,PASS,1.66893e-06,square_4096,4096,4096,4096,17.4346,17.7191,18.0552,7756.56,7883.1
C13_64x64x16_8x4,64,64,16,8,4,128,71,8704,PASS,1.66893e-06,square_4096,4096,4096,4096,17.023,17.1253,17.364,8025.48,8073.73
