stage,kernel,M,N,K,precision,min_ms,avg_ms,max_ms,avg_gflops,best_gflops,correctness,warmup,iterations,gpu,timestamp_utc,source,notes
1,Naive,4096,4096,4096,FP32,1199.47,1202.61,1207.97,114.284,114.584,PASS@256,10,50,NVIDIA GeForce RTX 4060 Laptop GPU,2026-08-30T02:51:25+00:00,controlled_same_script_run,"sequential laptop GPU run; clocks, power, and temperature not locked"
2,Global Memory Coalescing,4096,4096,4096,FP32,167.921,168.82,170.044,814.115,818.476,PASS@256,10,50,NVIDIA GeForce RTX 4060 Laptop GPU,2026-08-30T02:51:25+00:00,controlled_same_script_run,"sequential laptop GPU run; clocks, power, and temperature not locked"
3,Shared Memory Tiling,4096,4096,4096,FP32,153.756,154.963,156.138,886.917,893.874,PASS@256,10,50,NVIDIA GeForce RTX 4060 Laptop GPU,2026-08-30T02:51:25+00:00,controlled_same_script_run,"sequential laptop GPU run; clocks, power, and temperature not locked"
4,1D Register Tiling,4096,4096,4096,FP32,39.9432,40.7154,41.6092,3375.6,3440.86,PASS@256,10,50,NVIDIA GeForce RTX 4060 Laptop GPU,2026-08-30T02:51:25+00:00,controlled_same_script_run,"sequential laptop GPU run; clocks, power, and temperature not locked"
5,2D Register Tiling,4096,4096,4096,FP32,31.8003,32.3371,32.9943,4250.2,4321.94,PASS@256,10,50,NVIDIA GeForce RTX 4060 Laptop GPU,2026-08-30T02:51:25+00:00,controlled_same_script_run,"sequential laptop GPU run; clocks, power, and temperature not locked"
6,Vectorized Access,4096,4096,4096,FP32,17.1336,18.2516,19.8103,7530.25,8021.62,PASS@256,10,50,NVIDIA GeForce RTX 4060 Laptop GPU,2026-08-30T02:51:25+00:00,controlled_same_script_run,"sequential laptop GPU run; clocks, power, and temperature not locked"
7,Shared Memory Padding,4096,4096,4096,FP32,15.3099,16.37,17.6988,8395.81,8977.15,PASS@256,10,50,NVIDIA GeForce RTX 4060 Laptop GPU,2026-08-30T02:51:25+00:00,controlled_same_script_run,"sequential laptop GPU run; clocks, power, and temperature not locked"
8,Autotuned C08,4096,4096,4096,FP32,14.6112,15.4178,16.5868,8914.28,9406.41,PASS@256,10,50,NVIDIA GeForce RTX 4060 Laptop GPU,2026-08-30T02:51:25+00:00,controlled_same_script_run,"sequential laptop GPU run; clocks, power, and temperature not locked"
10,Warp Tiling,4096,4096,4096,FP32,19.8277,20.6457,21.4446,6657.02,6931.66,PASS@256,10,50,NVIDIA GeForce RTX 4060 Laptop GPU,2026-08-30T02:51:25+00:00,controlled_same_script_run,"sequential laptop GPU run; clocks, power, and temperature not locked"
11,Double Buffering,4096,4096,4096,FP32,14.9,15.6738,16.8037,8768.7,9224.07,PASS@256,10,50,NVIDIA GeForce RTX 4060 Laptop GPU,2026-08-30T02:51:25+00:00,controlled_same_script_run,"sequential laptop GPU run; clocks, power, and temperature not locked"
baseline,cuBLAS FP32,4096,4096,4096,FP32,14.8511,15.7804,16.9605,8709.47,9254.48,PASS@256,10,50,NVIDIA GeForce RTX 4060 Laptop GPU,2026-08-30T02:51:25+00:00,controlled_same_script_run,"sequential laptop GPU run; clocks, power, and temperature not locked"
